vhf_repository_id,vhf_code_id,publication_datetime,value,applies_from_datetime,applies_to_datetime,forward_period,forward_year
184950200,45713,15/12/2021 13:22,2.1938,15/12/2021 13:21,15/12/2021 13:22,2,2022
184950194,45715,15/12/2021 13:22,2.1922,15/12/2021 13:21,15/12/2021 13:22,2,2022
184950188,45714,15/12/2021 13:22,2.194,15/12/2021 13:21,15/12/2021 13:22,2,2022
184950182,45716,15/12/2021 13:22,2.1922,15/12/2021 13:21,15/12/2021 13:22,2,2022
184950175,45712,15/12/2021 13:22,50,15/12/2021 13:21,15/12/2021 13:22,1,2022
184950169,45708,15/12/2021 13:22,2.1975,15/12/2021 13:21,15/12/2021 13:22,1,2022
184950163,45710,15/12/2021 13:22,2.1953,15/12/2021 13:21,15/12/2021 13:22,1,2022
184950157,45709,15/12/2021 13:22,2.1977,15/12/2021 13:21,15/12/2021 13:22,1,2022
184950151,45711,15/12/2021 13:22,2.1956,15/12/2021 13:21,15/12/2021 13:22,1,2022
184950144,45692,15/12/2021 13:22,38,15/12/2021 13:21,15/12/2021 13:22,4,2022
184950138,45688,15/12/2021 13:22,72.45,15/12/2021 13:21,15/12/2021 13:22,4,2022
184950132,45690,15/12/2021 13:22,72.44,15/12/2021 13:21,15/12/2021 13:22,4,2022
184950126,45689,15/12/2021 13:22,72.45,15/12/2021 13:21,15/12/2021 13:22,4,2022
184950120,45691,15/12/2021 13:22,72.44,15/12/2021 13:21,15/12/2021 13:22,4,2022
184950113,45687,15/12/2021 13:22,139,15/12/2021 13:21,15/12/2021 13:22,3,2022
184950107,45683,15/12/2021 13:22,72.78,15/12/2021 13:21,15/12/2021 13:22,3,2022
184950101,45685,15/12/2021 13:22,72.72,15/12/2021 13:21,15/12/2021 13:22,3,2022
184950095,45684,15/12/2021 13:22,72.78,15/12/2021 13:21,15/12/2021 13:22,3,2022
184950089,45686,15/12/2021 13:22,72.72,15/12/2021 13:21,15/12/2021 13:22,3,2022
184950375,45747,15/12/2021 13:21,4,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950372,45743,15/12/2021 13:21,2.0749,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950369,45745,15/12/2021 13:21,2.0738,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950366,45744,15/12/2021 13:21,2.0749,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950363,45746,15/12/2021 13:21,2.0738,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950359,45742,15/12/2021 13:21,28,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950353,45738,15/12/2021 13:21,2.0896,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950347,45740,15/12/2021 13:21,2.0887,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950341,45739,15/12/2021 13:21,2.0901,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950335,45741,15/12/2021 13:21,2.089,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950323,45737,15/12/2021 13:21,4,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950318,45733,15/12/2021 13:21,630.75,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950313,45735,15/12/2021 13:21,630.75,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950308,45734,15/12/2021 13:21,630.75,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950303,45736,15/12/2021 13:21,630.75,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950297,45732,15/12/2021 13:21,25,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950291,45728,15/12/2021 13:21,634.25,15/12/2021 13:20,15/12/2021 13:21,2,2022
