description,external_description,description_short,external_query_str,vhf_code_id
RBOB month 2 1-minute aggregated volume,Gasoline RBOB,RBOB M2 1-min volume,VOLUME,45747
RBOB month 3 1-minute aggregated close,Gasoline RBOB,RBOB M3 1-min close,CLOSE,45748
RBOB month 3 1-minute aggregated high,Gasoline RBOB,RBOB M3 1-min high,HIGH,45749
RBOB month 3 1-minute aggregated low,Gasoline RBOB,RBOB M3 1-min low,LOW,45750
RBOB month 3 1-minute aggregated open,Gasoline RBOB,RBOB M3 1-min open,OPEN,45751
RBOB month 3 1-minute aggregated volume,Gasoline RBOB,RBOB M3 1-min volume,VOLUME,45752
Brent month 1:2 spread 1-minute aggregated close,Crude Oil Brent,Brent M1:2 1-min close,CLOSE,45805
Brent month 1:2 spread 1-minute aggregated high,Crude Oil Brent,Brent M1:2 1-min high,HIGH,45806
Brent month 1:2 spread 1-minute aggregated low,Crude Oil Brent,Brent M1:2 1-min low,LOW,45807
Brent month 1:2 spread 1-minute aggregated open,Crude Oil Brent,Brent M1:2 1-min open,OPEN,45808
Brent month 1:2 spread 1-minute aggregated volume,Crude Oil Brent,Brent M1:2 1-min volume,VOLUME,45809
Brent month 2:3 spread 1-minute aggregated close,Crude Oil Brent,Brent M2:3 1-min close,CLOSE,45810
Brent month 2:3 spread 1-minute aggregated high,Crude Oil Brent,Brent M2:3 1-min high,HIGH,45811
Brent month 2:3 spread 1-minute aggregated low,Crude Oil Brent,Brent M2:3 1-min low,LOW,45812
Brent month 2:3 spread 1-minute aggregated open,Crude Oil Brent,Brent M2:3 1-min open,OPEN,45813
Brent month 2:3 spread 1-minute aggregated volume,Crude Oil Brent,Brent M2:3 1-min volume,VOLUME,45814
WTI month 1:2 spread 1-minute aggregated close,Crude Oil WTI,WTI M1:2 1-min close,CLOSE,45820
WTI month 1:2 spread 1-minute aggregated high,Crude Oil WTI,WTI M1:2 1-min high,HIGH,45821
WTI month 1:2 spread 1-minute aggregated low,Crude Oil WTI,WTI M1:2 1-min low,LOW,45822
WTI month 1:2 spread 1-minute aggregated open,Crude Oil WTI,WTI M1:2 1-min open,OPEN,45823
WTI month 1:2 spread 1-minute aggregated volume,Crude Oil WTI,WTI M1:2 1-min volume,VOLUME,45824
WTI month 2:3 spread 1-minute aggregated close,Crude Oil WTI,WTI M2:3 1-min close,CLOSE,45825
WTI month 2:3 spread 1-minute aggregated high,Crude Oil WTI,WTI M2:3 1-min high,HIGH,45826
WTI month 2:3 spread 1-minute aggregated low,Crude Oil WTI,WTI M2:3 1-min low,LOW,45827
WTI month 2:3 spread 1-minute aggregated open,Crude Oil WTI,WTI M2:3 1-min open,OPEN,45828
WTI month 2:3 spread 1-minute aggregated volume,Crude Oil WTI,WTI M2:3 1-min volume,VOLUME,45829
