vhf_repository_id,vhf_code_id,publication_datetime,value,applies_from_datetime,applies_to_datetime,forward_period,forward_year
184931068,45691,15/12/2021 12:38:00,72.65,15/12/2021 12:37:00,15/12/2021 12:38:00,4,2022
184931061,45687,15/12/2021 12:38:00,12.00,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931059,45683,15/12/2021 12:38:00,72.93,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931057,45685,15/12/2021 12:38:00,72.91,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931055,45684,15/12/2021 12:38:00,72.93,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931053,45686,15/12/2021 12:38:00,72.92,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931051,45682,15/12/2021 12:38:00,43.00,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931048,45678,15/12/2021 12:38:00,72.98,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931045,45680,15/12/2021 12:38:00,72.98,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931042,45679,15/12/2021 12:38:00,73.00,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931039,45681,15/12/2021 12:38:00,72.99,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931036,45707,15/12/2021 12:38:00,2.00,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931033,45703,15/12/2021 12:38:00,69.46,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931030,45705,15/12/2021 12:38:00,69.46,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931027,45704,15/12/2021 12:38:00,69.46,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931024,45706,15/12/2021 12:38:00,69.46,15/12/2021 12:37:00,15/12/2021 12:38:00,3,2022
184931021,45702,15/12/2021 12:38:00,25.00,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931018,45698,15/12/2021 12:38:00,69.72,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931015,45700,15/12/2021 12:38:00,69.71,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
184931012,45699,15/12/2021 12:38:00,69.74,15/12/2021 12:37:00,15/12/2021 12:38:00,2,2022
